DataSource,SubType,med_cov,mu_mle,sigma_mle,mu_fit,sigma_fit
Liu2021,ANP anp-olf-cnu,15,0.883417616767965,0.0810168947999701,0.910596814780639,0.100851544754468
Liu2021,ASC cortex-olf,31,0.889126246786534,0.102704575921356,0.910596814780639,0.100851544754468
Liu2021,ASC mid,58,0.882239736617065,0.103563426751799,0.91059681478064,0.100851544754468
Liu2021,ASC str-hpf,86,0.881174248035727,0.0965613506217032,0.91059681478064,0.100851544754474
Liu2021,CA1 Chrm3,200,0.904542398312754,0.0993275539700318,0.91059681478064,0.100851544754623
Liu2021,CA3 Cadm2,181,0.914042848534424,0.0952468069863713,0.91059681478064,0.100851544754485
Liu2021,CGE-Lamp5 Grk5,51,0.909034036001311,0.105768845315716,0.91059681478064,0.100851544754468
Liu2021,CLA Cdh8,37,0.922492593955149,0.103138943119102,0.91059681478064,0.100851544754468
Liu2021,CT-L6 Il1rap,316,0.923525756866715,0.0800172055282561,0.91059681478064,0.100851544754485
Liu2021,CT-L6 Megf9,200,0.923913636048752,0.0824461871597357,0.91059681478064,0.100851544754485
Liu2021,D1L-PAL Plcxd3,19,0.91190765013031,0.0879601789513883,0.910596814780639,0.100851544754468
Liu2021,DG dg-all,513,0.887649761241862,0.0980085137876348,0.91059681478064,0.100851544754485
Liu2021,Foxp2 Inpp4b,29,0.914186156696487,0.094356484975473,0.910596814780639,0.100851544754468
Liu2021,IT-L23 Cux1,510,0.90861175557498,0.0964773635434669,0.91059681478064,0.100851544754623
Liu2021,IT-L23 Foxp1,100,0.91761280792194,0.0951421885508629,0.91059681478064,0.100851544754474
Liu2021,IT-L23 Ptprt,93,0.917869597721165,0.099503927505568,0.91059681478064,0.100851544754474
Liu2021,IT-L23 Tenm2,161,0.915001235301767,0.0924472500113884,0.91059681478064,0.100851544754623
Liu2021,IT-L4 Astn2,207,0.906077512768906,0.0994421282207021,0.91059681478064,0.100851544754485
Liu2021,IT-L4 Shc3,122,0.915125687849491,0.0992522160454967,0.91059681478064,0.100851544754485
Liu2021,IT-L5 Cdh8,179,0.917258830350629,0.0942373540347856,0.91059681478064,0.100851544754623
Liu2021,IT-L5 Etv1,158,0.925249960670901,0.0882871659389168,0.91059681478064,0.100851544754485
Liu2021,IT-L5 Grik3,141,0.922695215254094,0.094130923747908,0.91059681478064,0.100851544754485
Liu2021,IT-L6 Cadps2,65,0.925156268198146,0.0960742559645925,0.91059681478064,0.100851544754468
Liu2021,IT-L6 Fstl4,84,0.924827253591267,0.0941768865451122,0.91059681478064,0.100851544754474
Liu2021,IT-L6 Man1c1,193,0.920222946924217,0.0883103657219558,0.91059681478064,0.100851544754485
Liu2021,L6b Nrp2,31,0.944790146765295,0.0855403895211935,0.91059681478064,0.100851544754468
Liu2021,MGC mgc-all,69,0.846217854344652,0.119268213692725,0.91059681478064,0.100851544754474
Liu2021,MGE-Pvalb Thsd7a,47,0.926374414408439,0.099041431944285,0.91059681478064,0.100851544754468
Liu2021,MGE-Sst Bmper,19,0.937755861622622,0.0931490277690976,0.910596814780639,0.100851544754468
Liu2021,MGE-Sst Dock4,26,0.933458549601955,0.100427380520958,0.910596814780639,0.100851544754468
Liu2021,MGE-Sst Frmd6,50,0.930649358125338,0.0914802900313967,0.91059681478064,0.100851544754468
Liu2021,MGE-Sst Unc5b,9,0.93643564880397,0.0831544116008095,0.910596814780639,0.100851544754468
Liu2021,MSN-D1 Hrh1,96,0.920453905481463,0.0884037721080368,0.91059681478064,0.100851544754474
Liu2021,MSN-D1 Khdrbs3,38,0.922312166235088,0.0977411899229359,0.91059681478064,0.100851544754468
Liu2021,MSN-D2 Col14a1,39,0.916819117400154,0.094391889718913,0.91059681478064,0.100851544754468
Liu2021,MSN-D2 Slc24a2,142,0.913061361273168,0.0868056821001586,0.91059681478064,0.100851544754485
Liu2021,ODC odc-large,179,0.867764750085315,0.106226392353901,0.91059681478064,0.100851544754623
Liu2021,ODC odc-small,70,0.880003712981542,0.106321174355337,0.91059681478064,0.100851544754474
Liu2021,OLF Trpc4,60,0.897421147639757,0.101253817274012,0.91059681478064,0.100851544754474
Liu2021,OLF-Exc Bmpr1b,171,0.916057198063367,0.0893032067805162,0.91059681478064,0.100851544754623
Liu2021,OLF-Exc Cdh9,54,0.929298338933814,0.0965030533700676,0.91059681478064,0.100851544754468
Liu2021,OLF-Exc Lrrtm3,123,0.915819715142769,0.0912230700723937,0.91059681478064,0.100851544754485
Liu2021,OLF-Exc Rmst,25,0.926487054421094,0.0994210865831865,0.910596814780639,0.100851544754468
Liu2021,OLF-Exc Sgcd,174,0.929837966760742,0.0757920693050639,0.91059681478064,0.100851544754485
Liu2021,OLF-Exc Unc13c,69,0.910386464760774,0.0990320793377846,0.91059681478064,0.100851544754468
Liu2021,OPC opc-large,52,0.856443675379774,0.102568391928197,0.91059681478064,0.100851544754468
Liu2021,PAL-Inh Meis2,142,0.917663835069493,0.0815481775063655,0.91059681478064,0.100851544754623
Liu2021,PAL-Inh Onecut2,14,0.939756535608263,0.0959121384513703,0.910596814780639,0.100851544754468
Liu2021,PC pc-all,14,0.826461683592181,0.0809872733334302,0.910596814780639,0.100851544754468
Liu2021,PT-L5 Ptprt,25,0.932541486654006,0.0923653153409438,0.910596814780639,0.100851544754468
