distance_bp,phat_00,phat_01,phat_10,phat_11
1,,,,
2,0.980247220412368,0.0156219384363207,0.0197527795876318,0.98437806156368
3,0.977910010318518,0.0160545303325676,0.0220899896814819,0.983945469667433
4,0.976184803374154,0.0166969509811072,0.0238151966258456,0.983303049018893
5,0.974783917635354,0.0173909313684923,0.0252160823646458,0.982609068631508
6,0.97358664408623,0.0180867744309392,0.0264133559137698,0.981913225569061
7,0.972530616478772,0.018766568365523,0.0274693835212276,0.981233431634477
8,0.971579216367367,0.0194238503100751,0.0284207836326335,0.980576149689925
9,0.970708988768528,0.0200567819939664,0.0292910112314717,0.979943218006034
10,0.969903932086077,0.020665500999357,0.0300960679139229,0.979334499000643
11,0.969152595147725,0.021250990282871,0.030847404852275,0.978749009717129
12,0.968501904486637,0.021819513895629,0.0314980955133629,0.978180486104371
13,0.967962071067321,0.0223750416853206,0.0320379289326792,0.977624958314679
14,0.967485527605158,0.0229162536064537,0.0325144723948427,0.977083746393546
15,0.967040452504788,0.0234425962320066,0.0329595474952124,0.976557403767993
16,0.966605382627715,0.0239539847075574,0.0333946173722856,0.976046015292443
17,0.966165808455262,0.0244506199975567,0.0338341915447383,0.975549380002443
18,0.965711966101862,0.0249328746324827,0.0342880338981382,0.975067125367517
19,0.965237373639077,0.025401220254362,0.0347626263609232,0.974598779745638
20,0.964737842332832,0.0258561812420245,0.0352621576671681,0.974143818757976
21,0.964210797765929,0.0262983049129557,0.0357892022340716,0.973701695087044
22,0.963734094059958,0.0267266471552335,0.0362659059400419,0.973273352844767
23,0.963355186572311,0.0271409984340026,0.0366448134276895,0.972859001565998
24,0.963034518390146,0.0275428187091558,0.0369654816098547,0.972457181290844
25,0.962740977022038,0.0279333487853069,0.0372590229779618,0.972066651214694
26,0.96245007058473,0.0283136507801241,0.0375499294152698,0.971686349219876
27,0.962142531301138,0.028684639896952,0.0378574686988625,0.971315360103049
28,0.961803236903594,0.0290471096107636,0.0381967630964055,0.970952890389237
29,0.961420370982479,0.0294017518107721,0.0385796290175208,0.970598248189228
30,0.960984764629912,0.0297491730426454,0.0390152353700879,0.970250826957355
31,0.960489376834807,0.0300899077061658,0.0395106231651929,0.969910092293835
32,0.960023325576632,0.0304103707719409,0.0399766744233676,0.96958962922806
33,0.959650912280523,0.0307029210971379,0.040349087719477,0.969297078902863
34,0.959334348929013,0.0309758660803102,0.0406656510709874,0.96902413391969
35,0.959041815362711,0.0312362389718306,0.0409581846372887,0.96876376102817
36,0.958746517060211,0.0314899978914397,0.0412534829397895,0.968510002108561
37,0.958425904879744,0.0317421908262523,0.0415740951202562,0.968257809173748
38,0.958061026130825,0.0319970930212582,0.0419389738691758,0.968002906978742
39,0.957635982689259,0.0322583218492465,0.0423640173107418,0.967741678150754
40,0.95713747678576,0.0325289332197605,0.0428625232142407,0.967471066780239
41,0.956554428933499,0.0328115027849779,0.0434455710665023,0.967188497215022
42,0.955979011338578,0.0330982918557369,0.0440209886614226,0.966901708144263
43,0.955485353512415,0.0333807491524945,0.0445146464875856,0.966619250847505
44,0.955040248614344,0.033659818256499,0.0449597513856565,0.966340181743501
45,0.954614650709057,0.0339363284754395,0.0453853492909442,0.966063671524561
46,0.954183157174378,0.0342110089507661,0.0458168428256229,0.965788991049234
47,0.953723561358407,0.0344845008544671,0.0462764386415935,0.965515499145533
48,0.953216464953309,0.034757367961616,0.0467835350466909,0.965242632038384
49,0.952644941290519,0.0350301058377626,0.0473550587094815,0.964969894162237
50,0.951994242186651,0.0353031498415193,0.0480057578133486,0.964696850158481
51,0.951251542142112,0.0355768821108176,0.0487484578578884,0.964423117889182
52,0.950492626101923,0.0358533773933085,0.0495073738980769,0.964146622606691
53,0.949784508148102,0.0361332817915646,0.0502154918518976,0.963866718208435
