sample,specie,Laminar_layer,mCG/CG,mCH/CH,Coverage(%),BroadClass,Subtype
Pool_1217_AD010,Mus_musculus,Deep,0.79452,0.04382,5.01,Inhibitory,mSst-2
Pool_1218_AD006,Mus_musculus,Superficial,0.76356,0.02566,8.44,Inhibitory,mPv
Pool_1218_AD008,Mus_musculus,Deep,0.75,0.03293,5.65,Excitatory,mL5-2
Pool_1218_AD010,Mus_musculus,Deep,0.75552,0.02722,5.3,Excitatory,mL6-2
Pool_1219_AD006,Mus_musculus,Superficial,0.72843,0.02462,6.23,Excitatory,mL2/3
Pool_1219_AD008,Mus_musculus,Deep,0.75227,0.02622,5.43,Excitatory,mDL-1
Pool_1219_AD010,Mus_musculus,Deep,0.75977,0.02443,4.57,Excitatory,mDL-2
Pool_121_AD002,Mus_musculus,Superficial,0.73532,0.02222,2.96,Excitatory,mL2/3
Pool_121_AD006,Mus_musculus,Superficial,0.76012,0.01954,5.63,Excitatory,mL4
Pool_1220_AD002,Mus_musculus,Superficial,0.71698,0.01896,5.03,Excitatory,mL4
Pool_1220_AD006,Mus_musculus,Superficial,0.78615,0.0378,8.58,Inhibitory,mPv
Pool_1220_AD008,Mus_musculus,Deep,0.75827,0.02817,7.6,Excitatory,mL5-1
Pool_1220_AD010,Mus_musculus,Deep,0.71826,0.01892,6.7,Excitatory,mL6-2
Pool_1221_AD002,Mus_musculus,Superficial,0.71889,0.02075,5.57,Excitatory,mL2/3
Pool_1221_AD006,Mus_musculus,Superficial,0.74185,0.02211,6.86,Excitatory,mL4
Pool_1221_AD008,Mus_musculus,Deep,0.73264,0.01875,6.31,Excitatory,mL6-2
Pool_1221_AD010,Mus_musculus,Deep,0.76097,0.02646,5.66,Excitatory,mL6-2
Pool_1222_AD002,Mus_musculus,Superficial,0.73917,0.02458,4.34,Excitatory,mL5-1
Pool_1222_AD006,Mus_musculus,Superficial,0.75984,0.02793,5.41,Inhibitory,mVip
Pool_1222_AD008,Mus_musculus,Deep,0.73305,0.01931,4.89,Excitatory,mL6-2
Pool_1222_AD010,Mus_musculus,Deep,0.76196,0.03114,4.81,Excitatory,mL6-2
Pool_1223_AD002,Mus_musculus,Superficial,0.72111,0.01601,2.08,Excitatory,mL2/3
Pool_1223_AD006,Mus_musculus,Superficial,0.72586,0.02511,3.99,Excitatory,mL2/3
Pool_1223_AD008,Mus_musculus,Deep,0.75789,0.03207,4.12,Excitatory,mL5-1
Pool_1223_AD010,Mus_musculus,Deep,0.77699,0.03035,5.34,Inhibitory,mPv
Pool_1224_AD002,Mus_musculus,Superficial,0.73534,0.0233,6.87,Excitatory,mL2/3
Pool_1224_AD006,Mus_musculus,Superficial,0.72187,0.02342,6.54,Excitatory,mL4
Pool_1224_AD008,Mus_musculus,Deep,0.72432,0.02591,5.68,Excitatory,mL6-2
Pool_1224_AD010,Mus_musculus,Deep,0.75821,0.02279,5.94,Excitatory,mL6-2
Pool_1225_AD006,Mus_musculus,Superficial,0.73461,0.02338,7.16,Excitatory,mL2/3
Pool_1225_AD008,Mus_musculus,Deep,0.75717,0.02433,6,Excitatory,mDL-1
Pool_1225_AD010,Mus_musculus,Deep,0.77172,0.02664,6.39,Excitatory,mL6-2
Pool_1226_AD006,Mus_musculus,Superficial,0.74761,0.02422,3.04,Excitatory,mL2/3
Pool_1226_AD008,Mus_musculus,Deep,0.74372,0.0293,4.37,Excitatory,mL5-2
Pool_1226_AD010,Mus_musculus,Deep,0.75001,0.02594,3.31,Excitatory,mL2/3
Pool_1227_AD002,Mus_musculus,Superficial,0.7533,0.02357,2.35,Excitatory,mDL-2
Pool_1227_AD006,Mus_musculus,Superficial,0.72105,0.02591,3,Excitatory,mL2/3
Pool_1227_AD008,Mus_musculus,Deep,0.76312,0.03012,2.88,Excitatory,mL5-2
Pool_1228_AD006,Mus_musculus,Superficial,0.80631,0.02708,4.3,Inhibitory,mSst-1
Pool_1228_AD008,Mus_musculus,Deep,0.76253,0.02512,3.92,Excitatory,mDL-1
Pool_1228_AD010,Mus_musculus,Deep,0.74392,0.01971,3.58,Excitatory,mL6-2
Pool_1229_AD002,Mus_musculus,Superficial,0.78796,0.02906,3.6,Inhibitory,mSst-1
Pool_1229_AD006,Mus_musculus,Superficial,0.74494,0.02563,5.4,Excitatory,mL2/3
Pool_1229_AD008,Mus_musculus,Deep,0.79256,0.03642,5.43,Inhibitory,mSst-1
Pool_1229_AD010,Mus_musculus,Deep,0.74398,0.02539,4.78,Excitatory,mDL-2
Pool_122_AD002,Mus_musculus,Superficial,0.73331,0.02105,3.67,Excitatory,mDL-2
Pool_122_AD006,Mus_musculus,Superficial,0.73532,0.01952,9.9,Excitatory,mL4
Pool_1230_AD002,Mus_musculus,Superficial,0.7368,0.01941,1.76,Excitatory,mL2/3
Pool_1230_AD006,Mus_musculus,Superficial,0.75128,0.0203,2.55,Excitatory,mL4
Pool_1230_AD008,Mus_musculus,Deep,0.76196,0.03062,2.04,Excitatory,mL6-2
Pool_1230_AD010,Mus_musculus,Deep,0.76819,0.02682,2.26,Excitatory,mL6-2
Pool_1231_AD002,Mus_musculus,Superficial,0.73904,0.02183,2.36,Excitatory,mL2/3
Pool_1231_AD006,Mus_musculus,Superficial,0.75092,0.02122,3.01,Excitatory,mL2/3
Pool_1231_AD008,Mus_musculus,Deep,0.7704,0.02697,2.57,Excitatory,mDL-2
Pool_1231_AD010,Mus_musculus,Deep,0.75873,0.02571,3.12,Excitatory,mL6-2
Pool_1232_AD002,Mus_musculus,Superficial,0.73092,0.02167,2.09,Excitatory,mL2/3
Pool_1232_AD008,Mus_musculus,Deep,0.74913,0.02121,2.55,Excitatory,mL2/3
Pool_1232_AD010,Mus_musculus,Deep,0.74465,0.01959,2.37,Excitatory,mL6-2
Pool_1233_AD008,Mus_musculus,Deep,0.78917,0.03044,5.36,Inhibitory,mPv
Pool_1233_AD010,Mus_musculus,Deep,0.76782,0.0308,8.43,Excitatory,mL6-2
Pool_1234_AD008,Mus_musculus,Deep,0.7709,0.02839,6.1,Excitatory,mL5-2
Pool_1234_AD010,Mus_musculus,Deep,0.7499,0.03111,5.75,Excitatory,mL5-1
Pool_1235_AD006,Mus_musculus,Superficial,0.72657,0.01647,7.41,Inhibitory,mNdnf-2
Pool_1235_AD008,Mus_musculus,Deep,0.76286,0.02505,4.44,Excitatory,mL6-2
Pool_1235_AD010,Mus_musculus,Deep,0.75436,0.02424,6.24,Excitatory,mL6-2
Pool_1236_AD002,Mus_musculus,Superficial,0.7264,0.01834,5.86,Excitatory,mL4
Pool_1236_AD008,Mus_musculus,Deep,0.74812,0.02318,6.49,Excitatory,mL6-2
Pool_1236_AD010,Mus_musculus,Deep,0.75538,0.0271,7.11,Excitatory,mDL-1
Pool_1237_AD002,Mus_musculus,Superficial,0.72246,0.02287,6.7,Excitatory,mL2/3
Pool_1237_AD006,Mus_musculus,Superficial,0.7661,0.0289,1.94,Inhibitory,mSst-1
Pool_1237_AD008,Mus_musculus,Deep,0.71784,0.01679,6.14,Excitatory,mL6-2
Pool_1237_AD010,Mus_musculus,Deep,0.78158,0.03609,7.41,Inhibitory,mSst-1
Pool_1238_AD006,Mus_musculus,Superficial,0.77465,0.03146,6.98,Inhibitory,mPv
Pool_1238_AD008,Mus_musculus,Deep,0.75978,0.02513,6.55,Excitatory,mL6-2
Pool_1238_AD010,Mus_musculus,Deep,0.7454,0.02118,6.07,Excitatory,mL6-2
Pool_1239_AD002,Mus_musculus,Superficial,0.73831,0.01946,3.68,Excitatory,mL2/3
Pool_1239_AD006,Mus_musculus,Superficial,0.76609,0.02845,5.19,Excitatory,mL5-1
Pool_1239_AD008,Mus_musculus,Deep,0.77381,0.0321,4.45,Excitatory,mL6-2
Pool_1239_AD010,Mus_musculus,Deep,0.75657,0.0223,4.52,Excitatory,mL6-2
Pool_123_AD002,Mus_musculus,Superficial,0.75965,0.01762,2.29,Excitatory,mL2/3
Pool_123_AD006,Mus_musculus,Superficial,0.74454,0.02025,4.35,Excitatory,mL2/3
Pool_1240_AD002,Mus_musculus,Superficial,0.77289,0.03091,4.62,Excitatory,mL5-1
Pool_1240_AD006,Mus_musculus,Superficial,0.72829,0.01558,5.15,Inhibitory,mNdnf-2
Pool_1240_AD008,Mus_musculus,Deep,0.79319,0.03227,4.52,Inhibitory,mVip
Pool_1240_AD010,Mus_musculus,Deep,0.74209,0.02403,5.02,Excitatory,mDL-2
Pool_1241_AD002,Mus_musculus,Superficial,0.76104,0.02592,5.83,Inhibitory,mVip
Pool_1241_AD006,Mus_musculus,Superficial,0.73958,0.02172,4.28,Excitatory,mL2/3
Pool_1241_AD008,Mus_musculus,Deep,0.76607,0.02465,7.03,Excitatory,mDL-2
Pool_1241_AD010,Mus_musculus,Deep,0.78355,0.02497,7.22,Excitatory,mL6-1
Pool_1242_AD006,Mus_musculus,Superficial,0.77279,0.03088,6.03,Inhibitory,mPv
Pool_1242_AD008,Mus_musculus,Deep,0.78521,0.03795,5.46,Inhibitory,mPv
Pool_1242_AD010,Mus_musculus,Deep,0.73608,0.03102,5.14,Excitatory,mL5-2
Pool_1243_AD006,Mus_musculus,Superficial,0.74666,0.02326,6.2,Excitatory,mL2/3
Pool_1243_AD008,Mus_musculus,Deep,0.78929,0.03201,4.67,Excitatory,mL6-2
Pool_1243_AD010,Mus_musculus,Deep,0.74491,0.0215,5.19,Excitatory,mL6-2
Pool_1244_AD002,Mus_musculus,Superficial,0.77688,0.02677,3.33,Inhibitory,mSst-1
Pool_1244_AD008,Mus_musculus,Deep,0.76076,0.02285,4.79,Excitatory,mL6-2
Pool_1244_AD010,Mus_musculus,Deep,0.78514,0.02725,4.51,Inhibitory,mSst-1
Pool_1245_AD002,Mus_musculus,Superficial,0.72892,0.02141,6.38,Excitatory,mL4
Pool_1245_AD006,Mus_musculus,Superficial,0.75637,0.02319,7.26,Excitatory,mL2/3
Pool_1245_AD008,Mus_musculus,Deep,0.75117,0.02578,5.47,Excitatory,mL6-2
Pool_1245_AD010,Mus_musculus,Deep,0.74298,0.02152,6.39,Excitatory,mDL-1
Pool_1246_AD002,Mus_musculus,Superficial,0.70674,0.02326,2.55,Excitatory,mL2/3
Pool_1246_AD006,Mus_musculus,Superficial,0.77257,0.03255,3.81,Excitatory,mL5-1
Pool_1246_AD008,Mus_musculus,Deep,0.7575,0.02324,3.06,Excitatory,mDL-2
Pool_1246_AD010,Mus_musculus,Deep,0.76968,0.02631,3.13,Excitatory,mL6-2
Pool_1247_AD002,Mus_musculus,Superficial,0.76713,0.02416,3.3,Inhibitory,mVip
Pool_1247_AD006,Mus_musculus,Superficial,0.75873,0.02153,3.51,Excitatory,mL2/3
Pool_1247_AD008,Mus_musculus,Deep,0.77476,0.02948,3.26,Excitatory,mL6-2
Pool_1247_AD010,Mus_musculus,Deep,0.78233,0.02704,3.7,Excitatory,mL6-2
Pool_1248_AD002,Mus_musculus,Superficial,0.73126,0.02193,2.91,Excitatory,mL2/3
Pool_1248_AD006,Mus_musculus,Superficial,0.78171,0.02462,2.76,Inhibitory,mPv
Pool_1248_AD008,Mus_musculus,Deep,0.7635,0.02601,2.91,Excitatory,mL6-2
Pool_1248_AD010,Mus_musculus,Deep,0.78135,0.03072,3.27,Excitatory,mL6-2
Pool_1249_AD002,Mus_musculus,Superficial,0.70722,0.01983,6.96,Excitatory,mL2/3
Pool_1249_AD006,Mus_musculus,Superficial,0.73371,0.02513,10.11,Excitatory,mL2/3
Pool_1249_AD008,Mus_musculus,Deep,0.74345,0.0224,5.56,Excitatory,mDL-2
Pool_1249_AD010,Mus_musculus,Deep,0.75391,0.02629,8.48,Excitatory,mL6-2
Pool_124_AD002,Mus_musculus,Superficial,0.73269,0.02193,2.78,Excitatory,mL5-1
Pool_124_AD006,Mus_musculus,Superficial,0.74779,0.0183,5.24,Excitatory,mL4
Pool_1250_AD002,Mus_musculus,Superficial,0.73452,0.02322,4.47,Excitatory,mL4
Pool_1250_AD006,Mus_musculus,Superficial,0.73805,0.02282,6.37,Excitatory,mL2/3
Pool_1250_AD008,Mus_musculus,Deep,0.7312,0.02608,6.11,Excitatory,mDL-2
Pool_1250_AD010,Mus_musculus,Deep,0.75439,0.02958,7.23,Excitatory,mL5-2
Pool_1251_AD002,Mus_musculus,Superficial,0.76328,0.02519,6.29,Excitatory,mL5-1
Pool_1251_AD006,Mus_musculus,Superficial,0.76038,0.02924,8.1,Excitatory,mL2/3
Pool_1251_AD008,Mus_musculus,Deep,0.7734,0.03348,5.95,Excitatory,mL5-1
Pool_1251_AD010,Mus_musculus,Deep,0.78195,0.03352,7.05,Inhibitory,mSst-1
Pool_1252_AD006,Mus_musculus,Superficial,0.72955,0.02237,6.28,Excitatory,mL2/3
Pool_1252_AD008,Mus_musculus,Deep,0.74143,0.02264,6.66,Excitatory,mL6-2
Pool_1252_AD010,Mus_musculus,Deep,0.75195,0.03144,6.9,Excitatory,mL5-1
Pool_1253_AD006,Mus_musculus,Superficial,0.72608,0.02202,1.81,Excitatory,mL4
Pool_1253_AD008,Mus_musculus,Deep,0.74169,0.02363,7.19,Excitatory,mDL-2
Pool_1253_AD010,Mus_musculus,Deep,0.77737,0.02851,7.49,Inhibitory,mPv
Pool_1254_AD002,Mus_musculus,Superficial,0.72836,0.01821,4.59,Excitatory,mL4
Pool_1254_AD006,Mus_musculus,Superficial,0.75112,0.02468,5.78,Excitatory,mL4
Pool_1254_AD008,Mus_musculus,Deep,0.75851,0.02299,5.67,Excitatory,mDL-3
Pool_1254_AD010,Mus_musculus,Deep,0.7414,0.03559,5.71,Excitatory,mL5-2
Pool_1255_AD002,Mus_musculus,Superficial,0.76622,0.02822,4.02,Excitatory,mDL-1
Pool_1255_AD006,Mus_musculus,Superficial,0.74288,0.02238,4.58,Excitatory,mL2/3
Pool_1255_AD008,Mus_musculus,Deep,0.74346,0.02149,4.17,Excitatory,mL6-2
Pool_1255_AD010,Mus_musculus,Deep,0.77164,0.02357,5.04,Excitatory,mL6-2
Pool_1256_AD002,Mus_musculus,Superficial,0.72454,0.02497,4.87,Excitatory,mL2/3
Pool_1256_AD006,Mus_musculus,Superficial,0.73349,0.02158,5.19,Excitatory,mL2/3
Pool_1256_AD008,Mus_musculus,Deep,0.7689,0.02656,5.15,Excitatory,mDL-2
Pool_1256_AD010,Mus_musculus,Deep,0.77226,0.02985,5.35,Excitatory,mL6-2
Pool_1257_AD002,Mus_musculus,Superficial,0.71392,0.02245,6.05,Excitatory,mL2/3
Pool_1257_AD006,Mus_musculus,Superficial,0.72416,0.02405,5.25,Excitatory,mL5-1
Pool_1257_AD008,Mus_musculus,Deep,0.74379,0.02353,6.9,Excitatory,mDL-1
Pool_1257_AD010,Mus_musculus,Deep,0.74766,0.02427,5.87,Excitatory,mDL-2
Pool_1258_AD006,Mus_musculus,Superficial,0.72816,0.01986,3.69,Excitatory,mL2/3
Pool_1258_AD008,Mus_musculus,Deep,0.78779,0.03714,6.07,Inhibitory,mPv
Pool_1258_AD010,Mus_musculus,Deep,0.79201,0.0318,5.15,Excitatory,mL6-2
Pool_1259_AD002,Mus_musculus,Superficial,0.71844,0.02548,3.39,Excitatory,mL5-1
Pool_1259_AD006,Mus_musculus,Superficial,0.73766,0.02271,4.84,Excitatory,mL2/3
Pool_1259_AD008,Mus_musculus,Deep,0.74823,0.02432,4.44,Excitatory,mL6-2
Pool_1259_AD010,Mus_musculus,Deep,0.74469,0.03233,4.44,Excitatory,mL5-2
Pool_125_AD002,Mus_musculus,Superficial,0.73636,0.01913,3.69,Excitatory,mL2/3
Pool_125_AD006,Mus_musculus,Superficial,0.75398,0.02217,4.94,Excitatory,mL4
Pool_1260_AD002,Mus_musculus,Superficial,0.75142,0.0195,5.43,Inhibitory,mNdnf-1
Pool_1260_AD006,Mus_musculus,Superficial,0.72501,0.02299,6.59,Excitatory,mL2/3
Pool_1260_AD008,Mus_musculus,Deep,0.76004,0.02321,5.54,Excitatory,mDL-2
Pool_1260_AD010,Mus_musculus,Deep,0.78017,0.03653,5.6,Inhibitory,mVip
Pool_1261_AD002,Mus_musculus,Superficial,0.72934,0.02181,4.64,Excitatory,mL4
Pool_1261_AD006,Mus_musculus,Superficial,0.73921,0.01875,7.08,Excitatory,mL4
Pool_1261_AD008,Mus_musculus,Deep,0.74945,0.02282,6.99,Excitatory,mDL-2
Pool_1261_AD010,Mus_musculus,Deep,0.76827,0.02917,6.27,Excitatory,mL6-2
Pool_1262_AD002,Mus_musculus,Superficial,0.72617,0.01891,3.84,Excitatory,mL4
Pool_1262_AD006,Mus_musculus,Superficial,0.74878,0.02091,4.55,Excitatory,mL4
Pool_1262_AD008,Mus_musculus,Deep,0.78599,0.02914,4.79,Inhibitory,mSst-1
Pool_1262_AD010,Mus_musculus,Deep,0.75642,0.0225,5,Excitatory,mDL-2
Pool_1263_AD002,Mus_musculus,Superficial,0.73946,0.01994,3.87,Inhibitory,mNdnf-2
Pool_1263_AD006,Mus_musculus,Superficial,0.7439,0.02247,5.22,Excitatory,mL2/3
Pool_1263_AD008,Mus_musculus,Deep,0.79252,0.04591,4.53,Inhibitory,mSst-2
Pool_1263_AD010,Mus_musculus,Deep,0.75491,0.02182,4.91,Excitatory,mL6-2
Pool_1264_AD002,Mus_musculus,Superficial,0.766,0.02919,4.36,Inhibitory,mVip
Pool_1264_AD006,Mus_musculus,Superficial,0.81044,0.03047,6.17,Excitatory,mL6-1
Pool_1264_AD008,Mus_musculus,Deep,0.77562,0.02996,4.23,Excitatory,mL6-2
Pool_1264_AD010,Mus_musculus,Deep,0.73685,0.02534,4.59,Excitatory,mL5-1
Pool_1265_AD008,Mus_musculus,Deep,0.75531,0.02389,6.83,Excitatory,mDL-1
Pool_1265_AD010,Mus_musculus,Deep,0.74416,0.02304,7.61,Excitatory,mDL-1
Pool_1266_AD002,Mus_musculus,Superficial,0.7544,0.0216,5.56,Excitatory,mL2/3
Pool_1266_AD006,Mus_musculus,Superficial,0.71868,0.02243,3.97,Excitatory,mL2/3
Pool_1266_AD008,Mus_musculus,Deep,0.74463,0.0319,6.81,Excitatory,mL5-1
Pool_1266_AD010,Mus_musculus,Deep,0.73969,0.01939,7.57,Excitatory,mL6-2
Pool_1267_AD002,Mus_musculus,Superficial,0.77879,0.02277,6.64,Inhibitory,mPv
Pool_1267_AD006,Mus_musculus,Superficial,0.72254,0.02539,6.7,Excitatory,mL2/3
Pool_1267_AD008,Mus_musculus,Deep,0.74903,0.02112,6.23,Excitatory,mL6-2
Pool_1267_AD010,Mus_musculus,Deep,0.78808,0.03722,5.94,Inhibitory,mPv
Pool_1268_AD006,Mus_musculus,Superficial,0.78837,0.02374,8.37,Inhibitory,mVip
Pool_1268_AD008,Mus_musculus,Deep,0.75488,0.02385,7.26,Excitatory,mL6-2
Pool_1268_AD010,Mus_musculus,Deep,0.75029,0.02185,7.55,Excitatory,mDL-2
Pool_1269_AD002,Mus_musculus,Superficial,0.73314,0.02572,6.29,Excitatory,mL2/3
Pool_1269_AD006,Mus_musculus,Superficial,0.74755,0.03461,10.43,Excitatory,mL5-2
Pool_1269_AD008,Mus_musculus,Deep,0.77517,0.02921,7.09,Excitatory,mL6-2
Pool_1269_AD010,Mus_musculus,Deep,0.72552,0.01889,8.36,Excitatory,mL6-2
Pool_126_AD002,Mus_musculus,Superficial,0.73433,0.01798,3.12,Excitatory,mL4
Pool_126_AD006,Mus_musculus,Superficial,0.77599,0.02562,4.64,Inhibitory,mNdnf-2
Pool_1270_AD002,Mus_musculus,Superficial,0.71866,0.0211,5.94,Excitatory,mL2/3
Pool_1270_AD006,Mus_musculus,Superficial,0.73907,0.02502,7.61,Excitatory,mL4
Pool_1270_AD008,Mus_musculus,Deep,0.75367,0.02496,6.32,Excitatory,mDL-2
Pool_1270_AD010,Mus_musculus,Deep,0.76237,0.02579,4.52,Excitatory,mL6-2
Pool_1271_AD002,Mus_musculus,Superficial,0.72353,0.01833,4.48,Excitatory,mL4
Pool_1271_AD006,Mus_musculus,Superficial,0.72989,0.02294,4.07,Excitatory,mL2/3
Pool_1271_AD008,Mus_musculus,Deep,0.77618,0.02997,4.97,Excitatory,mL6-2
Pool_1271_AD010,Mus_musculus,Deep,0.79558,0.04886,5.98,Inhibitory,mSst-2
Pool_1272_AD002,Mus_musculus,Superficial,0.75254,0.02211,4.55,Excitatory,mL4
Pool_1272_AD006,Mus_musculus,Superficial,0.71913,0.0202,7.3,Excitatory,mL4
Pool_1272_AD008,Mus_musculus,Deep,0.76354,0.02737,5.67,Excitatory,mL6-2
Pool_1272_AD010,Mus_musculus,Deep,0.78746,0.02989,6.4,Excitatory,mL6-2
Pool_1273_AD002,Mus_musculus,Superficial,0.73023,0.02231,5.03,Excitatory,mL2/3
Pool_1273_AD006,Mus_musculus,Superficial,0.77347,0.03242,7.82,Inhibitory,mPv
Pool_1273_AD008,Mus_musculus,Deep,0.72644,0.01827,6.18,Excitatory,mL6-2
Pool_1273_AD010,Mus_musculus,Deep,0.74326,0.02714,7.83,Excitatory,mL2/3
Pool_1274_AD002,Mus_musculus,Superficial,0.74808,0.02877,6.56,Excitatory,mL5-2
Pool_1274_AD006,Mus_musculus,Superficial,0.74659,0.02083,7.45,Excitatory,mL2/3
Pool_1274_AD008,Mus_musculus,Deep,0.74319,0.02363,8.29,Excitatory,mDL-2
Pool_1274_AD010,Mus_musculus,Deep,0.74515,0.0277,6.1,Excitatory,mL6-2
Pool_1275_AD002,Mus_musculus,Superficial,0.74566,0.02766,6.09,Excitatory,mDL-1
Pool_1275_AD008,Mus_musculus,Deep,0.7519,0.023,7,Excitatory,mL6-2
Pool_1275_AD010,Mus_musculus,Deep,0.74497,0.02593,7.15,Excitatory,mDL-3
Pool_1276_AD002,Mus_musculus,Superficial,0.74104,0.02042,5.63,Excitatory,mL2/3
Pool_1276_AD006,Mus_musculus,Superficial,0.63931,0.02041,1.62,Excitatory,mL2/3
Pool_1276_AD008,Mus_musculus,Deep,0.75667,0.02503,7.35,Excitatory,mDL-2
Pool_1276_AD010,Mus_musculus,Deep,0.74746,0.02273,8.29,Excitatory,mL6-2
Pool_1277_AD002,Mus_musculus,Superficial,0.73049,0.02133,7.61,Excitatory,mL2/3
Pool_1277_AD006,Mus_musculus,Superficial,0.75085,0.0224,9.68,Excitatory,mL4
Pool_1277_AD008,Mus_musculus,Deep,0.7688,0.03196,5.16,Excitatory,mL6-2
Pool_1277_AD010,Mus_musculus,Deep,0.73218,0.02109,6.48,Excitatory,mL6-2
Pool_1278_AD002,Mus_musculus,Superficial,0.74015,0.01978,6.74,Excitatory,mL4
Pool_1278_AD006,Mus_musculus,Superficial,0.74634,0.0235,8.28,Excitatory,mL4
Pool_1278_AD008,Mus_musculus,Deep,0.77494,0.02926,6.7,Excitatory,mL6-2
Pool_1278_AD010,Mus_musculus,Deep,0.7239,0.01936,8.08,Inhibitory,mNdnf-2
Pool_1279_AD002,Mus_musculus,Superficial,0.74081,0.02038,6.62,Excitatory,mL4
Pool_1279_AD006,Mus_musculus,Superficial,0.7318,0.02254,7.62,Excitatory,mL2/3
Pool_1279_AD008,Mus_musculus,Deep,0.79271,0.03188,6.06,Inhibitory,mSst-1
Pool_1279_AD010,Mus_musculus,Deep,0.78049,0.02776,7.05,Excitatory,mL6-2
Pool_127_AD002,Mus_musculus,Superficial,0.73062,0.02702,2.54,Excitatory,mL2/3
Pool_127_AD006,Mus_musculus,Superficial,0.78251,0.02761,4.4,Excitatory,mL5-1
Pool_1280_AD002,Mus_musculus,Superficial,0.73751,0.02151,7.18,Excitatory,mL2/3
Pool_1280_AD006,Mus_musculus,Superficial,0.73407,0.02452,8.96,Excitatory,mL2/3
Pool_1280_AD008,Mus_musculus,Deep,0.73472,0.0199,6.24,Excitatory,mL6-2
Pool_1280_AD010,Mus_musculus,Deep,0.77411,0.02486,7.22,Excitatory,mL6-2
Pool_1281_AD008,Mus_musculus,Deep,0.74516,0.0223,7.04,Excitatory,mDL-2
Pool_1281_AD010,Mus_musculus,Deep,0.77772,0.0303,8.77,Excitatory,mL6-2
Pool_1282_AD002,Mus_musculus,Superficial,0.7371,0.02089,6.84,Excitatory,mL4
Pool_1282_AD006,Mus_musculus,Superficial,0.75404,0.02576,6.87,Excitatory,mL2/3
Pool_1282_AD008,Mus_musculus,Deep,0.73334,0.02049,7.22,Excitatory,mL6-2
Pool_1282_AD010,Mus_musculus,Deep,0.76759,0.03136,6.89,Excitatory,mL6-2
Pool_1283_AD002,Mus_musculus,Superficial,0.71369,0.01742,4.55,Excitatory,mL4
Pool_1283_AD006,Mus_musculus,Superficial,0.7432,0.0238,6.88,Excitatory,mL2/3
Pool_1283_AD008,Mus_musculus,Deep,0.75648,0.02513,6.71,Excitatory,mDL-2
Pool_1283_AD010,Mus_musculus,Deep,0.78229,0.03679,7.17,Inhibitory,mPv
Pool_1284_AD006,Mus_musculus,Superficial,0.74301,0.019,10.19,Excitatory,mL2/3
Pool_1284_AD008,Mus_musculus,Deep,0.80191,0.04228,7.81,Inhibitory,mSst-2
Pool_1284_AD010,Mus_musculus,Deep,0.80601,0.03163,9.28,Excitatory,mL6-1
Pool_1285_AD002,Mus_musculus,Superficial,0.77781,0.02709,3.71,Excitatory,mL6-1
Pool_1285_AD008,Mus_musculus,Deep,0.73542,0.02056,8.77,Excitatory,mL6-2
Pool_1285_AD010,Mus_musculus,Deep,0.77763,0.03043,8.76,Excitatory,mL6-2
Pool_1286_AD002,Mus_musculus,Superficial,0.72503,0.01589,6.52,Excitatory,mL4
Pool_1286_AD006,Mus_musculus,Superficial,0.74402,0.02288,8.69,Excitatory,mL2/3
Pool_1286_AD008,Mus_musculus,Deep,0.7595,0.02813,7.5,Excitatory,mL6-2
Pool_1286_AD010,Mus_musculus,Deep,0.73496,0.02405,8.28,Excitatory,mDL-2
Pool_1287_AD002,Mus_musculus,Superficial,0.75504,0.02179,5.63,Excitatory,mL4
Pool_1287_AD006,Mus_musculus,Superficial,0.74928,0.02029,6.69,Excitatory,mL4
Pool_1287_AD008,Mus_musculus,Deep,0.75365,0.02167,5.28,Excitatory,mL5-1
Pool_1287_AD010,Mus_musculus,Deep,0.74527,0.02331,7.04,Excitatory,mL6-2
Pool_1288_AD002,Mus_musculus,Superficial,0.72579,0.02031,6.4,Excitatory,mL2/3
Pool_1288_AD006,Mus_musculus,Superficial,0.74234,0.02258,7.45,Excitatory,mL4
Pool_1288_AD008,Mus_musculus,Deep,0.78497,0.03105,5.71,Excitatory,mL6-2
Pool_1288_AD010,Mus_musculus,Deep,0.79129,0.02667,7.17,Excitatory,mL6-1
Pool_1289_AD002,Mus_musculus,Superficial,0.71297,0.02228,4.2,Excitatory,mL2/3
Pool_1289_AD006,Mus_musculus,Superficial,0.72179,0.01882,6.74,Excitatory,mL4
Pool_1289_AD008,Mus_musculus,Deep,0.74144,0.02193,5.07,Excitatory,mL6-2
Pool_1289_AD010,Mus_musculus,Deep,0.75363,0.02873,6.51,Excitatory,mDL-1
Pool_128_AD002,Mus_musculus,Superficial,0.75496,0.02726,2.94,Inhibitory,mVip
Pool_128_AD006,Mus_musculus,Superficial,0.74626,0.02402,4.92,Excitatory,mL2/3
Pool_1290_AD006,Mus_musculus,Superficial,0.735,0.02796,6.28,Excitatory,mL2/3
Pool_1290_AD008,Mus_musculus,Deep,0.77243,0.02933,6.09,Excitatory,mL6-2
Pool_1290_AD010,Mus_musculus,Deep,0.76705,0.02902,5.75,Excitatory,mL6-2
Pool_1291_AD006,Mus_musculus,Superficial,0.7266,0.02363,7.35,Excitatory,mL2/3
Pool_1291_AD008,Mus_musculus,Deep,0.74629,0.03686,5.54,Excitatory,mL5-2
Pool_1291_AD010,Mus_musculus,Deep,0.7546,0.02327,6.72,Excitatory,mL6-2
